scenario_id,type,local_required,verification_class,verification_owner,verification_command,evidence_artifact,human_required_reason,required_human_action,expected_human_evidence,release_impact,status
CS-PROD-001,MUST_PASS,true,U+D,AI,cornerstone scenario verify vs0-product-domain-readiness --json,reports/scenario/vs0-product-domain-readiness-2026-06-09.json,,,,,PASS
CS-PROD-002,MUST_PASS,true,U+D,AI,cornerstone scenario verify vs0-product-loop-identity --json,reports/scenario/vs0-product-loop-identity-2026-06-09.json,,,,,PASS
CS-PROD-003,MUST_PASS,true,U+D,AI,cornerstone scenario verify vs0-product-domain-readiness --json,reports/scenario/vs0-product-domain-readiness-2026-06-09.json,,,,,PASS
CS-PROD-004,MUST_PASS,true,U+D,AI,cornerstone scenario verify vs0-briefing --json,reports/scenario/vs0-briefing-2026-06-09.json,,,,,PASS
CS-PROD-005,MUST_PASS,true,U+D,AI,cornerstone scenario verify vs0-conversation-onboarding --json,reports/scenario/vs0-conversation-onboarding-2026-06-09.json,,,,,PASS
CS-PROD-006,MUST_PASS,true,U+D,AI,cornerstone scenario verify full-mission-control-autonomy-lifecycle --json,reports/scenario/full-mission-control-autonomy-lifecycle-2026-06-10.json,,,,,PASS
CS-PROD-007,MUST_PASS,true,U+D,AI,cornerstone scenario verify full-mission-control-autonomy-lifecycle --json,reports/scenario/full-mission-control-autonomy-lifecycle-2026-06-10.json,,,,,PASS
CS-PROD-008,MUST_PASS,true,U+D,AI,cornerstone scenario verify full-mission-control-autonomy-lifecycle --json,reports/scenario/full-mission-control-autonomy-lifecycle-2026-06-10.json,,,,,PASS
CS-PROD-009,MUST_PASS,true,U+D,AI,cornerstone scenario verify full-mission-control-autonomy-lifecycle --json,reports/scenario/full-mission-control-autonomy-lifecycle-2026-06-10.json,,,,,PASS
CS-PROD-010,MUST_PASS,true,U+D,AI,cornerstone scenario verify full-mission-control-autonomy-lifecycle --json,reports/scenario/full-mission-control-autonomy-lifecycle-2026-06-10.json,,,,,PASS
CS-ARCH-001,MUST_PASS,true,D,AI,cornerstone scenario verify vs0-artifacts --json,reports/scenario/vs0-artifacts-2026-06-09.json,,,,,PASS
CS-ARCH-002,MUST_PASS,true,D,AI,cornerstone scenario verify vs0-artifacts --json,reports/scenario/vs0-artifacts-2026-06-09.json,,,,,PASS
CS-ARCH-003,MUST_PASS,true,D,AI,cornerstone scenario verify vs0-artifacts --json,reports/scenario/vs0-artifacts-2026-06-09.json,,,,,PASS
CS-ARCH-004,MUST_PASS,true,D,AI,cornerstone scenario verify vs0-artifacts --json,reports/scenario/vs0-artifacts-2026-06-09.json,,,,,PASS
CS-ARCH-005,MUST_PASS,true,D,AI,cornerstone scenario verify vs0-artifacts --json,reports/scenario/vs0-artifacts-2026-06-09.json,,,,,PASS
CS-ARCH-006,MUST_PASS,true,S+P+D,AI,cornerstone scenario verify vs0-security --json,reports/scenario/vs0-security-2026-06-09.json,,,,,PASS
CS-ARCH-007,MUST_PASS,true,S+P+D,AI,cornerstone scenario verify vs0-security --json,reports/scenario/vs0-security-2026-06-09.json,,,,,PASS
CS-ARCH-008,MUST_PASS,true,D,AI,cornerstone scenario verify vs0-search-evidence --json,reports/scenario/vs0-search-evidence-2026-06-09.json,,,,,PASS
CS-ARCH-009,MUST_PASS,true,D,AI,cornerstone scenario verify vs0-search-evidence --json,reports/scenario/vs0-search-evidence-2026-06-09.json,,,,,PASS
CS-ARCH-010,MUST_PASS,true,D,AI,cornerstone scenario verify full-namespace-governance --json,reports/scenario/full-namespace-governance-2026-06-10.json,,,,,PASS
CS-ARCH-011,MUST_PASS,true,D,AI,cornerstone scenario verify full-namespace-governance --json,reports/scenario/full-namespace-governance-2026-06-10.json,,,,,PASS
CS-ARCH-012,MUST_PASS,true,D,AI,cornerstone scenario verify full-brain-routing --json,reports/scenario/full-brain-routing-2026-06-10.json,,,,,PASS
CS-ARCH-013,MUST_PASS,true,D,AI,cornerstone scenario verify full-namespace-governance --json,reports/scenario/full-namespace-governance-2026-06-10.json,,,,,PASS
CS-ARCH-014,MUST_PASS,true,D,AI,cornerstone scenario verify full-namespace-governance --json,reports/scenario/full-namespace-governance-2026-06-10.json,,,,,PASS
CS-UND-001,MUST_PASS,true,D+M,AI,cornerstone scenario verify vs0-search-evidence --json,reports/scenario/vs0-search-evidence-2026-06-09.json,,,,,PASS
CS-UND-002,MUST_PASS,true,D+M,AI,cornerstone scenario verify vs0-search-understanding --json,reports/scenario/vs0-search-understanding-2026-06-09.json,,,,,PASS
CS-UND-003,MUST_PASS,true,D+M,AI,cornerstone scenario verify vs0-search-understanding --json,reports/scenario/vs0-search-understanding-2026-06-09.json,,,,,PASS
CS-UND-004,MUST_PASS,true,D+M,AI,cornerstone scenario verify vs0-detail-surfaces --json,reports/scenario/vs0-detail-surfaces-2026-06-09.json,,,,,PASS
CS-UND-005,MUST_PASS,true,D+M,AI,cornerstone scenario verify vs0-briefing --json,reports/scenario/vs0-briefing-2026-06-09.json,,,,,PASS
CS-UND-006,MUST_PASS,true,D+M,AI,cornerstone scenario verify full-understanding-ontology --json,reports/scenario/full-understanding-ontology-2026-06-10.json,,,,,PASS
CS-UND-007,MUST_PASS,true,D+M,AI,cornerstone scenario verify full-understanding-ontology --json,reports/scenario/full-understanding-ontology-2026-06-10.json,,,,,PASS
CS-UND-008,MUST_PASS,true,D+M,AI,cornerstone scenario verify full-understanding-ontology --json,reports/scenario/full-understanding-ontology-2026-06-10.json,,,,,PASS
